test_id,param_1,param_2,ref_value,taib_value,delta_pred_pct,sigma_bus,aux_1,aux_2
KERR,3.0,0.9,1.3333333333333333,87.71862027632592,6478.896520724445,2.6819923371647504e+120,,
KERR,5.0,0.9,0.8,52.46978389620357,6458.722987025446,1.1310344827586207e+120,,
KERR,10.0,0.9,0.4,26.115064461945963,6428.766115486491,3.1379310344827586e+119,,
KERR,20.0,0.9,0.2,12.995007575825785,6397.503787912892,8.232758620689654e+118,,
KERR,50.0,0.9,0.08,5.164270292089666,6355.337865112083,1.3544827586206895e+118,,
VOID,10,,-9.999999999999999e-05,1.0222687335991414,1022168.7335991415,0.1,,
VOID,20,,-0.00039999999999999996,1.0222687335991414,255467.18339978537,0.1,,
VOID,30,,-0.0009,1.0222687335991414,113485.41484434907,0.1,,
VOID,40,,-0.0015999999999999999,1.0222687335991414,63791.795849946335,0.1,,
VOID,50,,-0.0025,1.0222687335991414,40790.749343965654,0.1,,
BELL,10000000000.0,,,1.0,0.0,42800000000.0,,
BELL,1e+16,,,1.0,0.0,4.28e+16,,
BELL,1e+22,,,1.0,0.0,4.28e+22,,
BELL,1e+28,,,1.0,0.0,4.28e+28,,
BELL,1e+34,,,1.0,0.0,4.279999999999999e+34,,
BELL,1e+40,,,1.0,0.0,4.2800000000000004e+40,,
SHAPIRO,1,,0.0,65.38567070286942,6538.567070286942,3.448275862068965e+121,,
SHAPIRO,2,,0.0,65.06177015120589,6506.177015120589,8.620689655172413e+120,,
SHAPIRO,5,,0.0,64.63359691201237,6463.359691201236,1.3793103448275862e+120,,
SHAPIRO,10,,0.0,64.30969636034884,6430.9696360348835,3.4482758620689654e+119,,
QUBITS,2,,,4.028359651933498,0.0,8.56,,
QUBITS,10,,,0.805671930389296,0.0,42.800000000000004,,
QUBITS,50,,,0.16113438607796307,0.0,214.0,,
QUBITS,100,,,0.08056719303898803,0.0,428.0,,
QUBITS,1000,,,0.008056719303899387,0.0,4280.0,,
